"Jordbruk og skogbruk";12991
"Fiske, fangst og akvakultur";39361
"Bergverksdrift";4327
"Utvinning av råolje og naturgass, inkl. tjenester";542666
"Industri";286219
"Elektrisitets-, gass- og varmtvannsforsyning";54365
"Vannforsyning, avløp og renovasjon";21894
"Bygge- og anleggsvirksomhet";171098
"Varehandel og reparasjon av motorvogner";150295
"Rørtransport";4502
"Utenriks sjøfart";32546
"Transport utenom utenriks sjøfart";79061
"Post og distribusjonsvirksomhet";3928
"Overnattings- og serveringsvirksomhet";34184
"Informasjon og kommunikasjon";84630
"Finansierings- og forsikringsvirksomhet";65359
"Omsetning og drift av fast eiendom";50183
"Boligtjenester, egen bolig";65782
"Faglig, vitenskapelig og teknisk tjenesteyting";88238
"Forretningsmessig tjenesteyting";45794
"Offentlig administrasjon og forsvar";121434
"Undervisning";61519
"Helse- og omsorgstjenester";138534
"Kultur, underholdning og annen tjenesteyting";40267
